college_id,college_name,college_address
1,Abhilashi University,08 Upham Terrace
2,Acharya N.G. Ranga Agricultural University,036 Randy Court
3,Acharya Nagarjuna University,0839 6th Avenue
4,Adamas University,668 Linden Crossing
5,Adesh University,95 Larry Crossing
6,Adikavi Nannaya University,1 1st Circle
7,Ahmedabad University,09810 Rowland Court
8,Ajeenkya D.Y. Patil University,7 Paget Lane
9,Akal University,9523 Ramsey Trail
10,AKS University,2570 Hermina Center
11,Alagappa University,737 Burning Wood Lane
12,Alakh Prakash Goyal Shimla University,6 Dexter Parkway
13,Al-Falah University,04 Brickson Park Alley
14,Aliah University,075 Annamark Circle
15,Aligarh Muslim University,75789 Elka Plaza
16,All India Institute of Medical Sciences Bhopal,22269 Kenwood Center
17,All India Institute of Medical Sciences Bhubaneswar,9 Fulton Hill
18,All India Institute of Medical Sciences Delhi,8 Grover Plaza
19,All India Institute of Medical Sciences Jodhpur,58403 Village Junction
20,All India Institute of Medical Sciences Patna,12 Logan Hill
21,All India Institute of Medical Sciences Raipur,3941 Novick Circle
22,All India Institute of Medical Sciences Rishikesh,957 Fallview Pass
23,Alliance University,2 Hovde Alley
24,Ambedkar University Delhi,33 Westridge Lane
25,Amity University,381 Moose Park
26,Amrita Vishwa Vidyapeetham,66 Green Ridge Center
27,Anand Agricultural University,6 Ilene Pass
28,Anant National University,554 Mayfield Street
29,Andhra University,029 Northwestern Street
30,Anna University,9825 Clyde Gallagher Street
31,Annamalai University,6643 Artisan Park
32,Apeejay Stya University,0106 Mariners Cove Avenue
33,Apex Professional University,55059 Trailsway Point
34,Apex University,80 Leroy Plaza
35,APJ Abdul Kalam Technological University,01181 Towne Circle
36,Arka Jain University,6892 Crescent Oaks Road
37,Arni University,5 Ryan Street
38,Arunachal University of Studies,7 Caliangt Parkway
39,Arunodaya University,6819 Eliot Lane
40,Aryabhatta Knowledge University,13257 Moose Avenue
41,Ashoka University,1 Canary Trail
42,Assam Agricultural University,3 Corben Trail
43,Assam Don Bosco University,5 Shasta Avenue
44,Assam Down Town University,5420 6th Plaza
45,Assam Rajiv Gandhi University of Cooperative Management,43 Clarendon Road
46,Assam Science and Technology University,46 Dakota Way
47,Assam University,5106 Rutledge Avenue
48,Assam Women's University,486 Wayridge Junction
49,Atal Bihari Vajpayee Hindi Vishwavidyalaya,48 Arapahoe Drive
50,Atal Bihari Vajpayee Vishwavidyalaya,6 Shasta Terrace
51,Atmiya University,4461 Rowland Street
52,AURO University,3 Lillian Center
53,Avantika University,98084 Briar Crest Parkway
54,Avinashilingam University,8 Debra Point
55,Awadhesh Pratap Singh University,0 Corben Pass
56,Ayush and Health Sciences University of Chhattisgarh,3 Gateway Place
57,Azim Premji University,81 Center Way
58,B.S. Abdur Rahman Crescent Institute of Science and Technology,332 Fairview Lane
59,Baba Farid University of Health Sciences,98466 Norway Maple Park
60,Baba Ghulam Shah Badhshah University,6 Morning Junction
61,Baba Mastnath University,7921 Anzinger Way
62,Babasaheb Bhimrao Ambedkar Bihar University,6063 Melby Circle
63,Babasaheb Bhimrao Ambedkar University,20 6th Plaza
64,Babu Banarasi Das University,2968 Delaware Plaza
65,Baddi University of Emerging Sciences and Technologies,6990 Independence Drive
66,BAHRA University,90462 Division Terrace
67,Banaras Hindu University,573 Portage Terrace
68,Banasthali Vidyapith,74 Packers Park
69,Banda University of Agriculture and Technology,7 Pond Lane
70,Bangalore University,4 Old Gate Point
71,Bankura University,729 Anthes Circle
72,Bareilly International University,36549 Bluestem Circle
73,Barkatullah University,8552 Browning Pass
74,Bastar Vishwavidyalaya,4179 Mallory Pass
75,Bengaluru North University,5162 Killdeer Park
76,Bennett University,7 Graceland Drive
77,Berhampur University,52717 Ohio Hill
78,Bhagat Phool Singh Mahila Vishwavidyalaya,91 Center Terrace
79,Bhagwant University,20829 Continental Hill
80,Bhakta Kavi Narsinh Mehta University,7 Arizona Circle
81,Bharath Institute of Higher Education and Research,6 Farragut Center
82,Bharathiar University,1 Washington Way
83,Bharathidasan University,8 Westridge Circle
84,Bharati Vidyapeeth Deemed University,9991 Meadow Valley Park
85,Bhartiya Skill Development University,52 Tennyson Crossing
86,Bhatkhande Music Institute,60618 Canary Crossing
87,Bhupal Nobles University,1 Pierstorff Junction
88,Bhupendra Narayan Mandal University,77 Lotheville Drive
89,Bidhan Chandra Krishi Vishwavidyalaya,9 Harbort Crossing
90,Bihar Agricultural University,91 Park Meadow Center
91,Biju Patnaik University of Technology,6433 Arkansas Plaza
92,Binod Bihari Mahto Koyalanchal University,43884 Roxbury Point
93,Birla Institute of Technology,37980 Acker Junction
94,Birla Institute of Technology and Science,83 Morrow Drive
95,Birsa Agricultural University,66 Armistice Point
96,BLDE University,9055 Lotheville Drive
97,BML Munjal University,10438 Oakridge Street
98,Bodoland University,92 Nova Drive
99,Brainware University,8 Darwin Avenue
100,Bundelkhand University,8 Gulseth Road
