event_id,event_name,event_venue ,event_type,event_discription
1,Intaglio,cep 990,fun,Proin eu mi.
2,Delphique,cep 99,literature,Praesent blandit.
3,Vista,cep 33,indore games,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
4,blackwaters,cep 102,outdoor games,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
5,rush,canteen,infest games,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
6,synapse,main ground,reading game,Integer non velit.
7,i-fest,lecture theatre,techno games,Nulla tellus.
8,jockers,open air theatre,gym,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
9,technofest,lab building ,cubbing game,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
10,geeksforgeeks,cep 990,oat events,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
11,novelty,cep 99,fun,Vestibulum ac est lacinia nisi venenatis tristique.
12,todust,cep 33,literature,Fusce consequat.
13,counterstrike,cep 102,indore games,Donec semper sapien a libero.
14,pubg,canteen,outdoor games,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
15,eclipse,main ground,infest games,Vestibulum sed magna at nunc commodo placerat.
16,wallpainting,lecture theatre,reading game,Cras in purus eu magna vulputate luctus.
17,euphoria,open air theatre,techno games,Pellentesque viverra pede ac diam.
18,stars wars,lab building ,gym,Cras non velit nec nisi vulputate nonummy.
19,dedust,cep 990,cubbing game,Suspendisse potenti.
20,stranger things,cep 99,oat events,Curabitur in libero ut massa volutpat convallis.
21,bhangraempire,cep 33,fun,Morbi porttitor lorem id ligula.
22,iboxing,cep 102,literature,Nam dui.
23,aifight,canteen,indore games,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
